id,task_id,product_id,quantity,request_date
req_1641234567890_abc123,task_1641234567890_abc123,1,2,2024-01-14T10:30:00.000Z
req_1641234567891_def456,task_1641234567890_abc123,2,1,2024-01-14T10:30:00.000Z
req_1641234567892_ghi789,task_1641234567890_abc123,3,4,2024-01-14T10:30:00.000Z
req_1641234567893_jkl012,task_1641234567891_def456,1,1,2024-01-15T11:00:00.000Z
req_1641234567894_mno345,task_1641234567891_def456,4,2,2024-01-15T11:00:00.000Z
req_1641234567895_pqr678,task_1641234567892_ghi789,1,3,2024-01-16T09:15:00.000Z
req_1641234567896_stu901,task_1641234567892_ghi789,5,1,2024-01-16T09:15:00.000Z
req_1641234567897_vwx234,task_1641234567893_jkl012,2,1,2024-01-19T08:45:00.000Z
req_1641234567898_yz5678,task_1641234567895_pqr678,10,1,2024-01-23T14:20:00.000Z
req_1641234567899_abc901,task_1641234567896_stu901,1,2,2024-01-25T16:10:00.000Z 
