id,property,type,date,status,assigned_cleaner_id,notes,comments,start_time,end_time,start_video,end_video,products_used,created_at,updated_at,created_by,last_updated_by
task_1641234567890_abc123,QDCHA,cleaning,2024-01-15,CLOSED,1,"Checkout cleaning. Standard checkout","Task completed successfully",2024-01-15T09:00:00.000Z,2024-01-15T12:00:00.000Z,video_url_1,video_url_2,"[""product_1"", ""product_2""]",2024-01-14T10:00:00.000Z,2024-01-15T15:05:00.000Z,admin_1,admin_1
task_1641234567891_def456,PISO2,cleaning,2024-01-16,PENDING,1,"Checkout cleaning. Late checkout requested",,,,,,,[],2024-01-15T10:00:00.000Z,2024-01-15T10:06:00.000Z,admin_1,system
task_1641234567892_ghi789,STUDIO,cleaning,2024-01-17,CONFIRMED,2,"Checkout cleaning. Deep clean needed","I can handle the deep clean",,,,,,[],2024-01-16T10:00:00.000Z,2024-01-16T16:30:00.000Z,admin_1,2
task_1641234567893_jkl012,QDCHA,cleaning,2024-01-20,CLOSED,1,"Checkout cleaning. Early checkin","Task completed successfully",2024-01-20T09:00:00.000Z,2024-01-20T12:00:00.000Z,video_url_3,video_url_4,"[""product_1""]",2024-01-19T10:00:00.000Z,2024-01-20T14:05:00.000Z,admin_1,admin_1
task_1641234567894_mno345,LOFT,cleaning,2024-01-22,PENDING,3,"Checkout cleaning",,,,,,,[],2024-01-21T10:00:00.000Z,2024-01-21T10:06:00.000Z,admin_1,system
task_1641234567895_pqr678,PISO2,maintenance,2024-01-24,URGENT,,"Maintenance required",,,,,,,[],2024-01-23T10:00:00.000Z,2024-01-23T10:30:00.000Z,admin_1,admin_1
task_1641234567896_stu901,STUDIO,cleaning,2024-01-26,CONFIRMED,2,"Checkout cleaning. Check balcony door","Will check the balcony door",,,,,,[],2024-01-25T10:00:00.000Z,2024-01-25T18:30:00.000Z,admin_1,2
task_1641234567897_vwx234,QDCHA,cleaning,2024-01-28,PENDING,1,"Checkout cleaning",,,,,,,[],2024-01-27T10:00:00.000Z,2024-01-27T10:06:00.000Z,admin_1,system
task_1641234567898_yz5678,LOFT,cleaning,2024-01-30,URGENT,,"Checkout cleaning. Deep clean needed",,,,,,,[],2024-01-29T10:00:00.000Z,2024-01-29T10:30:00.000Z,admin_1,admin_1
task_1641234567899_abc901,PISO2,cleaning,2024-02-01,CONFIRMED,3,"Checkout cleaning","Ready for tomorrow",,,,,,[],2024-01-31T10:00:00.000Z,2024-01-31T16:30:00.000Z,admin_1,3
task_1641234567900_def234,QDCHA,cleaning,2024-02-03,STARTED,1,"Checkout cleaning. Quick turnaround","Starting now",2024-02-03T10:00:00.000Z,,video_url_5,,,[],2024-02-02T10:00:00.000Z,2024-02-03T10:00:00.000Z,admin_1,1
task_1641234567901_ghi567,STUDIO,cleaning,2024-02-05,IN_PROGRESS,2,"Checkout cleaning. Standard clean","Working on it",2024-02-05T09:30:00.000Z,,video_url_6,,,[],2024-02-04T10:00:00.000Z,2024-02-05T09:45:00.000Z,admin_1,2
task_1641234567902_jkl890,PISO2,cleaning,2024-02-07,COMPLETED,3,"Checkout cleaning. Deep clean","All done, looks great",2024-02-07T08:00:00.000Z,2024-02-07T13:30:00.000Z,video_url_7,video_url_8,"[""product_3"", ""product_4""]",2024-02-06T10:00:00.000Z,2024-02-07T13:30:00.000Z,admin_1,3
task_1641234567903_mno123,LOFT,cleaning,2024-02-09,REJECTED,2,"Checkout cleaning. Weekend work","Cannot work weekends",,,,,,[],2024-02-08T10:00:00.000Z,2024-02-08T20:15:00.000Z,admin_1,2
task_1641234567904_pqr456,QDCHA,cleaning,2024-02-11,TENTATIVE,1,"Checkout cleaning. Flexible timing","Can do it at 14:00 instead",,,,,,[],2024-02-10T10:00:00.000Z,2024-02-10T16:20:00.000Z,admin_1,1 
